imgA,imgB,keypointsA,keypointsB,good_matches
brainA-00.png,brainB-00.png,1,1,173
brainA-01.png,brainB-01.png,1,1,160
brainA-02.png,brainB-10.png,1,1,163
brainA-03.png,brainB-03.png,1,1,128
brainA-04.png,brainB-04.png,1,1,218
brainA-05.png,brainB-05.png,1,1,166
brainA-06.png,brainB-07.png,1,1,159
brainA-07.png,brainB-07.png,1,1,155
brainA-08.png,brainB-08.png,1,1,193
brainA-09.png,brainB-02.png,1,1,156
brainA-10.png,brainB-10.png,1,1,195
