A_index,B_index,erreur
< cv2.DMatch 000001FB5966B290>,< cv2.DMatch 000001FB5966AE90>,1532
< cv2.DMatch 000001FB596693B0>,< cv2.DMatch 000001FB596693D0>,1779
< cv2.DMatch 000001FB59669490>,< cv2.DMatch 000001FB596694B0>,128
< cv2.DMatch 000001FB596694D0>,< cv2.DMatch 000001FB596694F0>,2359
< cv2.DMatch 000001FB59669510>,< cv2.DMatch 000001FB59669550>,213
< cv2.DMatch 000001FB59669590>,< cv2.DMatch 000001FB596695D0>,507
< cv2.DMatch 000001FB59669610>,< cv2.DMatch 000001FB59669630>,1492
< cv2.DMatch 000001FB59669670>,< cv2.DMatch 000001FB596696B0>,1808
< cv2.DMatch 000001FB596696F0>,< cv2.DMatch 000001FB59669730>,2123
< cv2.DMatch 000001FB59669750>,< cv2.DMatch 000001FB59669790>,2465
< cv2.DMatch 000001FB596697B0>,< cv2.DMatch 000001FB59669810>,360
< cv2.DMatch 000001FB59669830>,< cv2.DMatch 000001FB59669850>,1972
< cv2.DMatch 000001FB59669890>,< cv2.DMatch 000001FB596698B0>,1806
< cv2.DMatch 000001FB596698D0>,< cv2.DMatch 000001FB59669910>,2328
< cv2.DMatch 000001FB59669930>,< cv2.DMatch 000001FB59669970>,318
< cv2.DMatch 000001FB596699B0>,< cv2.DMatch 000001FB596699F0>,652
< cv2.DMatch 000001FB59669A10>,< cv2.DMatch 000001FB59669A30>,37
< cv2.DMatch 000001FB59669A50>,< cv2.DMatch 000001FB59669A90>,1314
< cv2.DMatch 000001FB59669AD0>,< cv2.DMatch 000001FB59669B30>,1540
< cv2.DMatch 000001FB59669B50>,< cv2.DMatch 000001FB59669B70>,126
< cv2.DMatch 000001FB59669B90>,< cv2.DMatch 000001FB59669BB0>,125
< cv2.DMatch 000001FB59669BD0>,< cv2.DMatch 000001FB59669BF0>,2017
< cv2.DMatch 000001FB59669C50>,< cv2.DMatch 000001FB59669C90>,1219
< cv2.DMatch 000001FB59669CB0>,< cv2.DMatch 000001FB59669CD0>,440
< cv2.DMatch 000001FB59669CF0>,< cv2.DMatch 000001FB59669D10>,301
< cv2.DMatch 000001FB59669D30>,< cv2.DMatch 000001FB59669D50>,2203
< cv2.DMatch 000001FB59669D90>,< cv2.DMatch 000001FB59669DB0>,1359
< cv2.DMatch 000001FB59669DD0>,< cv2.DMatch 000001FB59669DF0>,1007
< cv2.DMatch 000001FB59669E10>,< cv2.DMatch 000001FB59669E70>,61
< cv2.DMatch 000001FB59669E90>,< cv2.DMatch 000001FB59669EB0>,14
< cv2.DMatch 000001FB59669EF0>,< cv2.DMatch 000001FB59669F30>,1746
< cv2.DMatch 000001FB59669F70>,< cv2.DMatch 000001FB59669F90>,281
< cv2.DMatch 000001FB59669FB0>,< cv2.DMatch 000001FB59669FF0>,1276
< cv2.DMatch 000001FB5966A010>,< cv2.DMatch 000001FB5966A050>,347
< cv2.DMatch 000001FB5966A070>,< cv2.DMatch 000001FB5966A0B0>,881
< cv2.DMatch 000001FB5966A0F0>,< cv2.DMatch 000001FB5966A110>,1185
< cv2.DMatch 000001FB5966A130>,< cv2.DMatch 000001FB5966A150>,199
< cv2.DMatch 000001FB5966A190>,< cv2.DMatch 000001FB5966A1B0>,2415
< cv2.DMatch 000001FB5966A1D0>,< cv2.DMatch 000001FB5966A1F0>,2541
< cv2.DMatch 000001FB5966A230>,< cv2.DMatch 000001FB5966A250>,450
< cv2.DMatch 000001FB5966A270>,< cv2.DMatch 000001FB5966A290>,16
< cv2.DMatch 000001FB5966A2B0>,< cv2.DMatch 000001FB5966A350>,1522
< cv2.DMatch 000001FB5966A370>,< cv2.DMatch 000001FB5966A390>,24
< cv2.DMatch 000001FB5966A3B0>,< cv2.DMatch 000001FB5966A3F0>,1258
< cv2.DMatch 000001FB5966A410>,< cv2.DMatch 000001FB5966A430>,1686
< cv2.DMatch 000001FB5966A450>,< cv2.DMatch 000001FB5966A470>,85
< cv2.DMatch 000001FB5966A490>,< cv2.DMatch 000001FB5966A4B0>,1217
< cv2.DMatch 000001FB5966A4D0>,< cv2.DMatch 000001FB5966A4F0>,1705
< cv2.DMatch 000001FB5966A510>,< cv2.DMatch 000001FB5966A530>,77
< cv2.DMatch 000001FB5966A550>,< cv2.DMatch 000001FB5966A570>,565
< cv2.DMatch 000001FB5966A590>,< cv2.DMatch 000001FB5966A5D0>,494
< cv2.DMatch 000001FB59627D70>,< cv2.DMatch 000001FB59627F90>,1458
< cv2.DMatch 000001FB59627490>,< cv2.DMatch 000001FB59627010>,1771
< cv2.DMatch 000001FB596277B0>,< cv2.DMatch 000001FB596277D0>,622
< cv2.DMatch 000001FB596277F0>,< cv2.DMatch 000001FB59627810>,1332
< cv2.DMatch 000001FB59627830>,< cv2.DMatch 000001FB59627850>,1875
< cv2.DMatch 000001FB59627870>,< cv2.DMatch 000001FB59627890>,338
< cv2.DMatch 000001FB596278B0>,< cv2.DMatch 000001FB596278D0>,1078
< cv2.DMatch 000001FB596278F0>,< cv2.DMatch 000001FB59627910>,982
< cv2.DMatch 000001FB59627930>,< cv2.DMatch 000001FB59627950>,911
< cv2.DMatch 000001FB59627970>,< cv2.DMatch 000001FB59627990>,1560
< cv2.DMatch 000001FB596279B0>,< cv2.DMatch 000001FB596279D0>,966
< cv2.DMatch 000001FB596279F0>,< cv2.DMatch 000001FB59627A10>,1804
< cv2.DMatch 000001FB59627A30>,< cv2.DMatch 000001FB59627A50>,700
< cv2.DMatch 000001FB59627A70>,< cv2.DMatch 000001FB59627A90>,527
< cv2.DMatch 000001FB59627AB0>,< cv2.DMatch 000001FB59627AD0>,227
< cv2.DMatch 000001FB59627AF0>,< cv2.DMatch 000001FB59627B10>,1256
< cv2.DMatch 000001FB59627B30>,< cv2.DMatch 000001FB59627B50>,1686
< cv2.DMatch 000001FB59627B70>,< cv2.DMatch 000001FB59627B90>,1007
< cv2.DMatch 000001FB59627BB0>,< cv2.DMatch 000001FB59627BD0>,1999
< cv2.DMatch 000001FB59627BF0>,< cv2.DMatch 000001FB59627C10>,1922
< cv2.DMatch 000001FB59627C30>,< cv2.DMatch 000001FB59627C50>,587
< cv2.DMatch 000001FB59627C70>,< cv2.DMatch 000001FB59627C90>,426
< cv2.DMatch 000001FB59627CB0>,< cv2.DMatch 000001FB59627CD0>,1027
< cv2.DMatch 000001FB59627CF0>,< cv2.DMatch 000001FB59627D10>,1204
< cv2.DMatch 000001FB59627D30>,< cv2.DMatch 000001FB59627D50>,430
< cv2.DMatch 000001FB59627D90>,< cv2.DMatch 000001FB59627DB0>,1943
< cv2.DMatch 000001FB59627DD0>,< cv2.DMatch 000001FB59627DF0>,2310
< cv2.DMatch 000001FB59627E10>,< cv2.DMatch 000001FB59627E30>,203
< cv2.DMatch 000001FB59627E50>,< cv2.DMatch 000001FB59627E70>,372
< cv2.DMatch 000001FB59627E90>,< cv2.DMatch 000001FB59627EB0>,2232
< cv2.DMatch 000001FB59627ED0>,< cv2.DMatch 000001FB59627EF0>,370
< cv2.DMatch 000001FB59627F10>,< cv2.DMatch 000001FB59627F30>,140
< cv2.DMatch 000001FB59627F50>,< cv2.DMatch 000001FB59627F70>,1115
< cv2.DMatch 000001FB59627FB0>,< cv2.DMatch 000001FB59627FD0>,1513
< cv2.DMatch 000001FB59627790>,< cv2.DMatch 000001FB59627770>,1570
< cv2.DMatch 000001FB59626810>,< cv2.DMatch 000001FB59626830>,1485
< cv2.DMatch 000001FB59626850>,< cv2.DMatch 000001FB59626870>,968
< cv2.DMatch 000001FB59626890>,< cv2.DMatch 000001FB596268B0>,266
< cv2.DMatch 000001FB596268D0>,< cv2.DMatch 000001FB596268F0>,1140
< cv2.DMatch 000001FB59626910>,< cv2.DMatch 000001FB59626930>,1106
< cv2.DMatch 000001FB59626950>,< cv2.DMatch 000001FB59626970>,1342
< cv2.DMatch 000001FB59626990>,< cv2.DMatch 000001FB596269B0>,112
< cv2.DMatch 000001FB596269D0>,< cv2.DMatch 000001FB596269F0>,932
< cv2.DMatch 000001FB59626A10>,< cv2.DMatch 000001FB59626A30>,889
< cv2.DMatch 000001FB59626A50>,< cv2.DMatch 000001FB59626A70>,934
< cv2.DMatch 000001FB59626A90>,< cv2.DMatch 000001FB59626AB0>,117
< cv2.DMatch 000001FB59626AD0>,< cv2.DMatch 000001FB59626AF0>,249
< cv2.DMatch 000001FB59626B10>,< cv2.DMatch 000001FB59626B30>,1949
< cv2.DMatch 000001FB59626B50>,< cv2.DMatch 000001FB59626B70>,591
< cv2.DMatch 000001FB59626B90>,< cv2.DMatch 000001FB59626BB0>,142
< cv2.DMatch 000001FB59626BD0>,< cv2.DMatch 000001FB59626BF0>,120
< cv2.DMatch 000001FB59626C10>,< cv2.DMatch 000001FB59626C30>,413
< cv2.DMatch 000001FB59626C50>,< cv2.DMatch 000001FB59626C70>,1744
< cv2.DMatch 000001FB59626C90>,< cv2.DMatch 000001FB59626CB0>,587
< cv2.DMatch 000001FB59626CD0>,< cv2.DMatch 000001FB59626CF0>,705
< cv2.DMatch 000001FB59626D10>,< cv2.DMatch 000001FB59626D30>,588
< cv2.DMatch 000001FB59626D50>,< cv2.DMatch 000001FB59626D70>,1536
< cv2.DMatch 000001FB59626D90>,< cv2.DMatch 000001FB59626DB0>,1140
< cv2.DMatch 000001FB59626DD0>,< cv2.DMatch 000001FB59626DF0>,1218
< cv2.DMatch 000001FB59626E10>,< cv2.DMatch 000001FB59626E30>,2063
< cv2.DMatch 000001FB59626E50>,< cv2.DMatch 000001FB59626E70>,1962
< cv2.DMatch 000001FB59626E90>,< cv2.DMatch 000001FB59626EB0>,2968
< cv2.DMatch 000001FB59626ED0>,< cv2.DMatch 000001FB59626EF0>,2397
< cv2.DMatch 000001FB59626F10>,< cv2.DMatch 000001FB59626F30>,475
< cv2.DMatch 000001FB59626F50>,< cv2.DMatch 000001FB59626F70>,2228
< cv2.DMatch 000001FB59626F90>,< cv2.DMatch 000001FB59626FB0>,2070
< cv2.DMatch 000001FB59626FD0>,< cv2.DMatch 000001FB59626FF0>,1278
< cv2.DMatch 000001FB59627030>,< cv2.DMatch 000001FB59627050>,1602
< cv2.DMatch 000001FB59627070>,< cv2.DMatch 000001FB59627090>,1969
< cv2.DMatch 000001FB596270B0>,< cv2.DMatch 000001FB596270D0>,1404
< cv2.DMatch 000001FB596270F0>,< cv2.DMatch 000001FB59627110>,3156
< cv2.DMatch 000001FB59627130>,< cv2.DMatch 000001FB59627150>,108
< cv2.DMatch 000001FB59627170>,< cv2.DMatch 000001FB59627190>,617
< cv2.DMatch 000001FB596271B0>,< cv2.DMatch 000001FB596271D0>,2172
< cv2.DMatch 000001FB596271F0>,< cv2.DMatch 000001FB59627210>,1127
< cv2.DMatch 000001FB59627230>,< cv2.DMatch 000001FB59627250>,1516
< cv2.DMatch 000001FB59627270>,< cv2.DMatch 000001FB59627290>,64
< cv2.DMatch 000001FB596272B0>,< cv2.DMatch 000001FB596272D0>,1202
< cv2.DMatch 000001FB596272F0>,< cv2.DMatch 000001FB59627310>,2227
< cv2.DMatch 000001FB59627330>,< cv2.DMatch 000001FB59627350>,1910
< cv2.DMatch 000001FB59627370>,< cv2.DMatch 000001FB59627390>,1180
< cv2.DMatch 000001FB596273B0>,< cv2.DMatch 000001FB596273D0>,1175
< cv2.DMatch 000001FB596273F0>,< cv2.DMatch 000001FB59627410>,1102
< cv2.DMatch 000001FB59627430>,< cv2.DMatch 000001FB59627450>,877
< cv2.DMatch 000001FB59627470>,< cv2.DMatch 000001FB596274B0>,211
< cv2.DMatch 000001FB596274D0>,< cv2.DMatch 000001FB596274F0>,2262
< cv2.DMatch 000001FB59627510>,< cv2.DMatch 000001FB59627530>,405
< cv2.DMatch 000001FB59627550>,< cv2.DMatch 000001FB59627570>,1711
< cv2.DMatch 000001FB59627590>,< cv2.DMatch 000001FB596275B0>,273
< cv2.DMatch 000001FB596275D0>,< cv2.DMatch 000001FB59627610>,85
< cv2.DMatch 000001FB59627630>,< cv2.DMatch 000001FB59627650>,277
< cv2.DMatch 000001FB59627670>,< cv2.DMatch 000001FB59627690>,2808
< cv2.DMatch 000001FB596276B0>,< cv2.DMatch 000001FB596276D0>,1896
< cv2.DMatch 000001FB596276F0>,< cv2.DMatch 000001FB59627710>,1255
< cv2.DMatch 000001FB59627730>,< cv2.DMatch 000001FB59627750>,478
< cv2.DMatch 000001FB59626550>,< cv2.DMatch 000001FB59625CF0>,1576
< cv2.DMatch 000001FB59626510>,< cv2.DMatch 000001FB596261B0>,923
< cv2.DMatch 000001FB596264F0>,< cv2.DMatch 000001FB596275F0>,2770
< cv2.DMatch 000001FB59624030>,< cv2.DMatch 000001FB59624050>,946
< cv2.DMatch 000001FB59624070>,< cv2.DMatch 000001FB59624090>,660
< cv2.DMatch 000001FB596240B0>,< cv2.DMatch 000001FB596240D0>,422
< cv2.DMatch 000001FB596240F0>,< cv2.DMatch 000001FB59624110>,2609
< cv2.DMatch 000001FB59624130>,< cv2.DMatch 000001FB59624150>,1020
< cv2.DMatch 000001FB59624170>,< cv2.DMatch 000001FB59624190>,32
< cv2.DMatch 000001FB596241B0>,< cv2.DMatch 000001FB596241D0>,427
< cv2.DMatch 000001FB596241F0>,< cv2.DMatch 000001FB59624210>,1826
< cv2.DMatch 000001FB59624230>,< cv2.DMatch 000001FB59624250>,823
< cv2.DMatch 000001FB59624270>,< cv2.DMatch 000001FB59624290>,20
< cv2.DMatch 000001FB596242B0>,< cv2.DMatch 000001FB596242D0>,968
< cv2.DMatch 000001FB596242F0>,< cv2.DMatch 000001FB59624310>,1099
< cv2.DMatch 000001FB59624330>,< cv2.DMatch 000001FB59624350>,266
< cv2.DMatch 000001FB59624370>,< cv2.DMatch 000001FB59624390>,389
< cv2.DMatch 000001FB596243B0>,< cv2.DMatch 000001FB596243D0>,988
< cv2.DMatch 000001FB596243F0>,< cv2.DMatch 000001FB59624410>,2372
< cv2.DMatch 000001FB59624430>,< cv2.DMatch 000001FB59624450>,2335
< cv2.DMatch 000001FB59624470>,< cv2.DMatch 000001FB59624490>,128
< cv2.DMatch 000001FB596244B0>,< cv2.DMatch 000001FB596244D0>,112
< cv2.DMatch 000001FB596244F0>,< cv2.DMatch 000001FB59624510>,2144
< cv2.DMatch 000001FB59624530>,< cv2.DMatch 000001FB59624550>,1028
< cv2.DMatch 000001FB59624570>,< cv2.DMatch 000001FB59624590>,120
< cv2.DMatch 000001FB596245B0>,< cv2.DMatch 000001FB596245D0>,34
< cv2.DMatch 000001FB596245F0>,< cv2.DMatch 000001FB59624610>,3130
< cv2.DMatch 000001FB59624630>,< cv2.DMatch 000001FB59624650>,448
< cv2.DMatch 000001FB59624670>,< cv2.DMatch 000001FB59624690>,716
< cv2.DMatch 000001FB596246B0>,< cv2.DMatch 000001FB596246D0>,1083
< cv2.DMatch 000001FB596246F0>,< cv2.DMatch 000001FB59624710>,135
< cv2.DMatch 000001FB59624730>,< cv2.DMatch 000001FB59624750>,41
< cv2.DMatch 000001FB59624770>,< cv2.DMatch 000001FB59624790>,537
< cv2.DMatch 000001FB596247B0>,< cv2.DMatch 000001FB596247D0>,915
< cv2.DMatch 000001FB596247F0>,< cv2.DMatch 000001FB59624810>,380
< cv2.DMatch 000001FB59624830>,< cv2.DMatch 000001FB59624850>,1586
< cv2.DMatch 000001FB59624870>,< cv2.DMatch 000001FB59624890>,597
< cv2.DMatch 000001FB596248B0>,< cv2.DMatch 000001FB596248D0>,1291
< cv2.DMatch 000001FB596248F0>,< cv2.DMatch 000001FB59624910>,337
< cv2.DMatch 000001FB59624930>,< cv2.DMatch 000001FB59624950>,336
< cv2.DMatch 000001FB59624970>,< cv2.DMatch 000001FB59624990>,737
< cv2.DMatch 000001FB596249B0>,< cv2.DMatch 000001FB596249D0>,596
< cv2.DMatch 000001FB596249F0>,< cv2.DMatch 000001FB59624A10>,393
< cv2.DMatch 000001FB59624A30>,< cv2.DMatch 000001FB59624A50>,1779
< cv2.DMatch 000001FB59624A70>,< cv2.DMatch 000001FB59624A90>,1166
< cv2.DMatch 000001FB59624AB0>,< cv2.DMatch 000001FB59624AD0>,1593
< cv2.DMatch 000001FB59624AF0>,< cv2.DMatch 000001FB59624B10>,826
< cv2.DMatch 000001FB59624B30>,< cv2.DMatch 000001FB59624B50>,533
< cv2.DMatch 000001FB59624B70>,< cv2.DMatch 000001FB59624B90>,931
< cv2.DMatch 000001FB59624BB0>,< cv2.DMatch 000001FB59624BD0>,2459
< cv2.DMatch 000001FB59624BF0>,< cv2.DMatch 000001FB59624C10>,2350
< cv2.DMatch 000001FB59624C30>,< cv2.DMatch 000001FB59624C50>,520
< cv2.DMatch 000001FB59624C70>,< cv2.DMatch 000001FB59624C90>,990
< cv2.DMatch 000001FB59624CB0>,< cv2.DMatch 000001FB59624CD0>,883
< cv2.DMatch 000001FB59624CF0>,< cv2.DMatch 000001FB59624D10>,1326
< cv2.DMatch 000001FB59624D30>,< cv2.DMatch 000001FB59624D50>,1962
< cv2.DMatch 000001FB59624D70>,< cv2.DMatch 000001FB59624D90>,1863
< cv2.DMatch 000001FB59624DB0>,< cv2.DMatch 000001FB59624DD0>,793
< cv2.DMatch 000001FB59624DF0>,< cv2.DMatch 000001FB59624E10>,1279
< cv2.DMatch 000001FB59624E30>,< cv2.DMatch 000001FB59624E50>,2543
< cv2.DMatch 000001FB59624E70>,< cv2.DMatch 000001FB59624E90>,919
< cv2.DMatch 000001FB59624EB0>,< cv2.DMatch 000001FB59624ED0>,2394
< cv2.DMatch 000001FB59624EF0>,< cv2.DMatch 000001FB59624F10>,1882
< cv2.DMatch 000001FB59624F30>,< cv2.DMatch 000001FB59624F50>,2156
< cv2.DMatch 000001FB59624F70>,< cv2.DMatch 000001FB59624F90>,842
< cv2.DMatch 000001FB59624FB0>,< cv2.DMatch 000001FB59624FD0>,1680
< cv2.DMatch 000001FB59624FF0>,< cv2.DMatch 000001FB59625010>,1160
< cv2.DMatch 000001FB59625030>,< cv2.DMatch 000001FB59625050>,1256
< cv2.DMatch 000001FB59625070>,< cv2.DMatch 000001FB59625090>,310
< cv2.DMatch 000001FB596250B0>,< cv2.DMatch 000001FB596250D0>,659
< cv2.DMatch 000001FB596250F0>,< cv2.DMatch 000001FB59625110>,607
< cv2.DMatch 000001FB59625130>,< cv2.DMatch 000001FB59625150>,1117
< cv2.DMatch 000001FB59625170>,< cv2.DMatch 000001FB59625190>,70
< cv2.DMatch 000001FB596251B0>,< cv2.DMatch 000001FB596251D0>,1469
< cv2.DMatch 000001FB596251F0>,< cv2.DMatch 000001FB59625210>,512
< cv2.DMatch 000001FB59625230>,< cv2.DMatch 000001FB59625250>,2812
< cv2.DMatch 000001FB59625270>,< cv2.DMatch 000001FB59625290>,1259
< cv2.DMatch 000001FB596252B0>,< cv2.DMatch 000001FB596252D0>,256
< cv2.DMatch 000001FB596252F0>,< cv2.DMatch 000001FB59625310>,253
< cv2.DMatch 000001FB59625330>,< cv2.DMatch 000001FB59625350>,1614
< cv2.DMatch 000001FB59625370>,< cv2.DMatch 000001FB59625390>,2214
< cv2.DMatch 000001FB596253B0>,< cv2.DMatch 000001FB596253D0>,519
< cv2.DMatch 000001FB596253F0>,< cv2.DMatch 000001FB59625410>,623
< cv2.DMatch 000001FB59625430>,< cv2.DMatch 000001FB59625450>,1991
< cv2.DMatch 000001FB59625470>,< cv2.DMatch 000001FB59625490>,40
< cv2.DMatch 000001FB596254B0>,< cv2.DMatch 000001FB596254D0>,1898
< cv2.DMatch 000001FB596254F0>,< cv2.DMatch 000001FB59625510>,711
< cv2.DMatch 000001FB59625530>,< cv2.DMatch 000001FB59625550>,342
< cv2.DMatch 000001FB59625570>,< cv2.DMatch 000001FB59625590>,1663
< cv2.DMatch 000001FB596255B0>,< cv2.DMatch 000001FB596255D0>,766
< cv2.DMatch 000001FB596255F0>,< cv2.DMatch 000001FB59625610>,2475
< cv2.DMatch 000001FB59625630>,< cv2.DMatch 000001FB59625650>,423
< cv2.DMatch 000001FB59625670>,< cv2.DMatch 000001FB59625690>,525
< cv2.DMatch 000001FB596256B0>,< cv2.DMatch 000001FB596256D0>,1444
< cv2.DMatch 000001FB596256F0>,< cv2.DMatch 000001FB59625710>,1209
< cv2.DMatch 000001FB59625730>,< cv2.DMatch 000001FB59625750>,615
< cv2.DMatch 000001FB59625770>,< cv2.DMatch 000001FB59625790>,1211
< cv2.DMatch 000001FB596257B0>,< cv2.DMatch 000001FB596257D0>,1140
< cv2.DMatch 000001FB596257F0>,< cv2.DMatch 000001FB59625810>,920
< cv2.DMatch 000001FB59625830>,< cv2.DMatch 000001FB59625850>,127
< cv2.DMatch 000001FB59625870>,< cv2.DMatch 000001FB59625890>,2061
< cv2.DMatch 000001FB596258B0>,< cv2.DMatch 000001FB596258D0>,1489
< cv2.DMatch 000001FB596258F0>,< cv2.DMatch 000001FB59625910>,2392
< cv2.DMatch 000001FB59625930>,< cv2.DMatch 000001FB59625950>,108
< cv2.DMatch 000001FB59625970>,< cv2.DMatch 000001FB59625990>,294
< cv2.DMatch 000001FB596259B0>,< cv2.DMatch 000001FB596259D0>,1509
< cv2.DMatch 000001FB596259F0>,< cv2.DMatch 000001FB59625A10>,1042
< cv2.DMatch 000001FB59625A30>,< cv2.DMatch 000001FB59625A50>,1779
< cv2.DMatch 000001FB59625A70>,< cv2.DMatch 000001FB59625A90>,930
< cv2.DMatch 000001FB59625AB0>,< cv2.DMatch 000001FB59625AD0>,1211
< cv2.DMatch 000001FB59625AF0>,< cv2.DMatch 000001FB59625B10>,665
< cv2.DMatch 000001FB59625B30>,< cv2.DMatch 000001FB59625B50>,603
< cv2.DMatch 000001FB59625B70>,< cv2.DMatch 000001FB59625B90>,302
< cv2.DMatch 000001FB59625BB0>,< cv2.DMatch 000001FB59625BD0>,70
< cv2.DMatch 000001FB59625BF0>,< cv2.DMatch 000001FB59625C10>,998
< cv2.DMatch 000001FB59625C30>,< cv2.DMatch 000001FB59625C50>,1645
< cv2.DMatch 000001FB59625C70>,< cv2.DMatch 000001FB59625C90>,2133
< cv2.DMatch 000001FB59625CB0>,< cv2.DMatch 000001FB59625CD0>,237
< cv2.DMatch 000001FB59625D10>,< cv2.DMatch 000001FB59625D30>,2337
< cv2.DMatch 000001FB59625D50>,< cv2.DMatch 000001FB59625D70>,2773
< cv2.DMatch 000001FB59625D90>,< cv2.DMatch 000001FB59625DB0>,325
< cv2.DMatch 000001FB59625DD0>,< cv2.DMatch 000001FB59625DF0>,1388
< cv2.DMatch 000001FB59625E10>,< cv2.DMatch 000001FB59625E30>,2379
< cv2.DMatch 000001FB59625E50>,< cv2.DMatch 000001FB59625E70>,1129
< cv2.DMatch 000001FB59625E90>,< cv2.DMatch 000001FB59625EB0>,680
< cv2.DMatch 000001FB59625ED0>,< cv2.DMatch 000001FB59625EF0>,926
< cv2.DMatch 000001FB59625F10>,< cv2.DMatch 000001FB59625F30>,658
< cv2.DMatch 000001FB59625F50>,< cv2.DMatch 000001FB59625F70>,562
< cv2.DMatch 000001FB59625F90>,< cv2.DMatch 000001FB59625FB0>,200
< cv2.DMatch 000001FB59625FD0>,< cv2.DMatch 000001FB59625FF0>,1488
< cv2.DMatch 000001FB59626010>,< cv2.DMatch 000001FB59626030>,2829
< cv2.DMatch 000001FB59626050>,< cv2.DMatch 000001FB59626070>,769
< cv2.DMatch 000001FB59626090>,< cv2.DMatch 000001FB596260B0>,855
< cv2.DMatch 000001FB596260D0>,< cv2.DMatch 000001FB596260F0>,137
< cv2.DMatch 000001FB59626110>,< cv2.DMatch 000001FB59626130>,1744
< cv2.DMatch 000001FB59626150>,< cv2.DMatch 000001FB59626170>,147
< cv2.DMatch 000001FB59626190>,< cv2.DMatch 000001FB596261D0>,1440
< cv2.DMatch 000001FB596261F0>,< cv2.DMatch 000001FB59626210>,1453
< cv2.DMatch 000001FB59626230>,< cv2.DMatch 000001FB59626250>,1441
< cv2.DMatch 000001FB59626270>,< cv2.DMatch 000001FB59626290>,240
< cv2.DMatch 000001FB596262B0>,< cv2.DMatch 000001FB596262D0>,3
< cv2.DMatch 000001FB596262F0>,< cv2.DMatch 000001FB59626310>,1318
< cv2.DMatch 000001FB59626330>,< cv2.DMatch 000001FB59626350>,2469
< cv2.DMatch 000001FB59626370>,< cv2.DMatch 000001FB59626390>,393
< cv2.DMatch 000001FB596263B0>,< cv2.DMatch 000001FB596263D0>,1175
< cv2.DMatch 000001FB596263F0>,< cv2.DMatch 000001FB59626410>,18
< cv2.DMatch 000001FB59626430>,< cv2.DMatch 000001FB59626450>,1763
< cv2.DMatch 000001FB59626470>,< cv2.DMatch 000001FB59626490>,20
< cv2.DMatch 000001FB596264B0>,< cv2.DMatch 000001FB596264D0>,625
< cv2.DMatch 000001FB59626530>,< cv2.DMatch 000001FB59626570>,2
< cv2.DMatch 000001FB59626590>,< cv2.DMatch 000001FB596265B0>,377
< cv2.DMatch 000001FB596265D0>,< cv2.DMatch 000001FB596265F0>,2401
< cv2.DMatch 000001FB59626610>,< cv2.DMatch 000001FB59626630>,2403
< cv2.DMatch 000001FB59626650>,< cv2.DMatch 000001FB59626670>,45
< cv2.DMatch 000001FB59626690>,< cv2.DMatch 000001FB596266B0>,486
< cv2.DMatch 000001FB596266D0>,< cv2.DMatch 000001FB596266F0>,2032
< cv2.DMatch 000001FB59626710>,< cv2.DMatch 000001FB59626730>,319
< cv2.DMatch 000001FB59626750>,< cv2.DMatch 000001FB59626770>,3089
< cv2.DMatch 000001FB59626790>,< cv2.DMatch 000001FB596267B0>,559
< cv2.DMatch 000001FB596267D0>,< cv2.DMatch 000001FB596267F0>,835
< cv2.DMatch 000001FB595E0030>,< cv2.DMatch 000001FB595E0050>,1359
< cv2.DMatch 000001FB595E0070>,< cv2.DMatch 000001FB595E0090>,177
< cv2.DMatch 000001FB595E00B0>,< cv2.DMatch 000001FB595E00D0>,1312
< cv2.DMatch 000001FB595E00F0>,< cv2.DMatch 000001FB595E0110>,144
< cv2.DMatch 000001FB595E0130>,< cv2.DMatch 000001FB595E0150>,2002
< cv2.DMatch 000001FB595E0170>,< cv2.DMatch 000001FB595E0190>,2451
< cv2.DMatch 000001FB595E01B0>,< cv2.DMatch 000001FB595E01D0>,2469
< cv2.DMatch 000001FB595E01F0>,< cv2.DMatch 000001FB595E0210>,940
< cv2.DMatch 000001FB595E0230>,< cv2.DMatch 000001FB595E0250>,1418
< cv2.DMatch 000001FB595E0270>,< cv2.DMatch 000001FB595E0290>,537
< cv2.DMatch 000001FB595E02B0>,< cv2.DMatch 000001FB595E02D0>,80
< cv2.DMatch 000001FB595E02F0>,< cv2.DMatch 000001FB595E0310>,5
< cv2.DMatch 000001FB595E0330>,< cv2.DMatch 000001FB595E0350>,1952
< cv2.DMatch 000001FB595E0370>,< cv2.DMatch 000001FB595E0390>,142
< cv2.DMatch 000001FB595E03B0>,< cv2.DMatch 000001FB595E03D0>,574
< cv2.DMatch 000001FB595E03F0>,< cv2.DMatch 000001FB595E0410>,138
< cv2.DMatch 000001FB595E0430>,< cv2.DMatch 000001FB595E0450>,485
< cv2.DMatch 000001FB595E0470>,< cv2.DMatch 000001FB595E0490>,13
< cv2.DMatch 000001FB595E04B0>,< cv2.DMatch 000001FB595E04D0>,1789
< cv2.DMatch 000001FB595E04F0>,< cv2.DMatch 000001FB595E0510>,1634
< cv2.DMatch 000001FB595E0530>,< cv2.DMatch 000001FB595E0550>,1269
< cv2.DMatch 000001FB595E0570>,< cv2.DMatch 000001FB595E0590>,463
< cv2.DMatch 000001FB595E05B0>,< cv2.DMatch 000001FB595E05D0>,410
< cv2.DMatch 000001FB595E05F0>,< cv2.DMatch 000001FB595E0610>,1713
< cv2.DMatch 000001FB595E0630>,< cv2.DMatch 000001FB595E0650>,170
