imgA,imgB,kpA,kpB,good_matches
studioA-00.JPG,studioB-00.JPG,1519,1468,491
studioA-01.JPG,studioB-01.JPG,1633,1344,494
studioA-02.JPG,studioB-02.JPG,1571,1504,513
studioA-03.JPG,studioB-03.JPG,1515,1565,534
studioA-04.JPG,studioB-04.JPG,1715,1746,372
studioA-05.JPG,studioB-05.JPG,1880,1735,483
studioA-06.JPG,studioB-06.JPG,1805,1687,740
studioA-07.JPG,studioB-07.JPG,1660,1630,515
studioA-08.JPG,studioB-08.JPG,1350,1470,445
studioA-09.JPG,studioB-09.JPG,1191,1227,566
